USR_ID, Original sentence, generated sentence, HIndi generated sentence, masked hindi sentence
38,rAma ne SyAma xvArA mohana se BiKArI ko xAna xilavAyA.,rAma #SyAma mohana ko BiKArI ko xAna #xeyA,राम #श्याम मोहन को भिखारी को दान #देया,राम #श्याम मोहन <> भिखारी <> दान <> #देया
39,ye prawIka hE.,isa prawIka hE,इस प्रतीक है,इस प्रतीक है
40,rAma ko xillI jAnA padZA.,rAma xillI jAnA padA,राम दिल्ली जाना पडा,राम दिल्ली जाना पडा
42,mEMne nayA Pala KAyA.,mEMne nayA Pala KAyA,मैंने नया फल खाया,मैंने नया फल <> खाया
43,mEMne naye ladake ko xeKA.,mEMne nayA ladakA xeKA,मैंने नया लडका देखा,मैंने नया लडका <> देखा
44,bagIce meM billiyAz WIM. ,bagIce meM billiyAz WIM,बगीचे में बिल्लियाँ थीं,बगीचे <> बिल्लियाँ थीं
45,BArawa meM xvIpasamUha hEM.,BArawa meM xvIpasamUha hEM,भारत में द्वीपसमूह हैं,भारत <> द्वीपसमूह हैं
46,mEMne pahalI kiwAba paDI.,mEMne pahalI kiwAba paDI,मैंने पहली किताब पढी,मैंने पहली किताब <> पढी
47,AkASagaMgA badI hE.,AkASagaMgA badA hE,आकाशगंगा बडा है,आकाशगंगा बडा है
48,wAre timatimAwe hEM.,wAre timatimAwe hEM,तारे टिमटिमाते हैं,तारे टिमटिमाते हैं
49,mEM Sahara meM eka vixyAlaya gayA.,mEMne Sahara meM vixyAlaya jAyA,मैंने शहर में विद्यालय जाया,मैंने शहर <> विद्यालय जाया
50,mEM Sahara meM vixyAlaya meM gayA.,mEMne Sahara meM vixyAlaya jAyA,मैंने शहर में विद्यालय जाया,मैंने शहर <> विद्यालय जाया
51,ladakA usake lie Sahara gayA.,ladake ne #vaha Sahara jAyA,लडके ने #वह शहर जाया,लडके <> #वह शहर जाया
53,mEM usase eka kiwAba le rahA hUz.,mEM usase kiwAba le rahA hUz,मैं उससे किताब ले रहा हूँ,मैं उससे किताब <> ले रहा हूँ
54,brahmAMda badA hE.,brahmAMda badA hE,ब्रह्मांड बडा है,ब्रह्मांड बडा है
55,mEMne usase eka praSna pUCA.,mEMne #vaha eka praSna pUCA,मैंने #वह एक प्रश्न पूछा,मैंने #वह एक प्रश्न <> पूछा
57,mere liye jaMgala se Pala lAo!,#mEM jaMgala se Pala lAo,#मैं जंगल से फल लाओ,#मैं जंगल <> फल <> लाओ
58,rAma john ke liye Sahara se AyA.,rAma #John ke lie Sahara se AyA,राम #झोह्न् के लिए शहर से आया,राम #झोह्न् <> <> शहर <> आया
59,rAma xo kiwAbeM paDa rahA hE.,rAma xo kiwAbeM paDa rahA hE,राम दो किताबें पढ रहा है,राम दो किताबें <> पढ रहा है
60,rAvana mArA gayA.,rAvaNa ko mArA jAyA,रावण को मारा जाया,रावण <> मारा जाया
61,rAvaNa rAma ke xvArA mArA gayA WA.,rAvaNa ko rAma ne mArA jAyA WA,रावण को राम ने मारा जाया था,रावण <> राम <> मारा जाया था
62,Sahara jAo!,Sahara jAo,शहर जाओ,शहर जाओ
63,Sera ne yuxXa ke liye jaMgala meM saBA bulAI.,Sera ne yuxXa ke lie jaMgala meM saBA bulAI,शेर ने युद्ध के लिए जंगल में सभा बुलाई,शेर <> युद्ध <> <> जंगल <> सभा <> बुलाई
67,vaha kaba jA rahA hE?,vaha #kaba ko jA rahA hE,वह #कब को जा रहा है,वह #कब <> जा रहा है
69,ve calacciwra xeKa rahe hEM.,#vaha #calacciwra xeKa rahe hEM,#वह #चलच्चित्र देख रहे हैं,#वह #चलच्चित्र <> देख रहे हैं
70,wuma kele KA rahe ho.,wuma kele KA rahA hE,तुम केले खा रहा है,तुम केले <> खा रहा है
71,mEM so rahA hUz.,mEM so rahA hUz,मैं सो रहा हूँ,मैं सो रहा हूँ
72,rAma ne muJe kiwAba xI.,rAma ne muJe kiwAba xI,राम ने मुझे किताब दी,राम <> मुझे किताब <> दी
73,rAma acCA hE.,rAma acCA hE,राम अच्छा है,राम अच्छा है
74,vaha apane piwA ke sAWa vixyAlaya jAyegI.,vaha #apanA piwA vixyAlaya jAegA,वह #अपना पिता विद्यालय जाएगा,वह #अपना पिता विद्यालय जाएगा
75,rAma acCA doYktara hE.,rAma acCA doYktara hE,राम अच्छा डोक्टर है,राम अच्छा डोक्टर है
76,rAma xillI meM rahawA hE.,rAma xillI meM rahawA hE,राम दिल्ली में रहता है,राम दिल्ली <> रहता है
77,ladakA xillI meM hE.,ladakA xillI meM hE,लडका दिल्ली में है,लडका दिल्ली <> है
78,rAma bagIce meM hE.,rAma bagIce meM hE,राम बगीचे में है,राम बगीचे <> है
79,rAma xillI meM hE.,rAma xillI meM hE,राम दिल्ली में है,राम दिल्ली <> है
80,mEM xillI meM hUz.,mEM xillI meM hUz,मैं दिल्ली में हूँ,मैं दिल्ली <> हूँ
81,rAma ko buKAra hE.,rAma ko buKAra hE,राम को बुखार है,राम <> बुखार है
82,ladake ko buKAra hE.,ladake ko buKAra hE,लडके को बुखार है,लडके <> बुखार है
83,muJe buKAra hE.,muJe buKAra hE,मुझे बुखार है,मुझे बुखार है
84,rAma ke pAsa kiwAba hE.,rAma ke pAsa kiwAba hE,राम के पास किताब है,राम <> <> किताब है
85,mere pAsa kiwAba hE.,#mEM kiwAba hE,#मैं किताब है,#मैं किताब है
86,ladake ke pAsa kiwAba hE.,ladake ke pAsa kiwAba hE,लडके के पास किताब है,लडके <> <> किताब है
88,kyA rAma ke pAsa kiwAba hE?,kyA rAma ke pAsa kiwAba hE?,क्या राम के पास किताब है?,राम <> <> किताब है
89,kyA wuma xillI meM ho?,kyA wuma xillI meM hE?,क्या तुम दिल्ली में है?,तुम दिल्ली <> है
90,kyA wumhe buKAra hE?,kyA #wU buKAra?,क्या #तू बुखार?,#तू बुखार
91,rAma apane piwA ke sAWa vixyAlaya gayA.,rAma ne #apanA piwA vixyAlaya jAyA,राम ने #अपना पिता विद्यालय जाया,राम <> #अपना पिता विद्यालय जाया
92,mEM vahAz A rahA hUz.,mEM #vahAz A rahA hUz,मैं #वहाँ आ रहा हूँ,मैं #वहाँ आ रहा हूँ
93,wuma Keloge.,wuma Keloge/KelegA,तुम खेलोगे/खेलेगा,तुम खेलोगे/खेलेगा
94,rAma paDegA.,rAma paDegA,राम पढेगा,राम पढेगा
95,mEM Gara jA sakawA hUz.,mEM Gara jA sakawA hUz,मैं घर जा सकता हूँ,मैं घर <> जा सकता हूँ
96,vaha Gara jA sakawA hE.,vaha Gara jA sakawA hE,वह घर जा सकता है,वह घर <> जा सकता है
97,somavAra pahalA xina hE.,somavAra pahalA xina hE,सोमवार पहला दिन है,सोमवार पहला दिन है
98,hAra mahilA ke gale meM hE.,hAra mahilA ke gale meM hE,हार महिला के गले में है,हार महिला <> गले <> है
99,camadZe se jUwe banAo.,camade jUwe banAo,चमडे जूते बनाओ,चमडे जूते <> बनाओ
100,mEM rUsI nahIM bola sakawA hUz.,mEM rUsI ko nahIM bola sakawA hUz,मैं रूसी को नहीं बोल सकता हूँ,मैं रूसी <> नहीं बोल सकता हूँ
102,rAma ko Pala KAnA hogA.,rAma Pala KAnA hogA,राम फल खाना होगा,राम फल <> खाना होगा
106,muJe kala AnA hogA.,mEM kala ko AnA hoUzgA,मैं कल को आना होऊँगा,मैं कल <> आना होऊँगा
107,mEM rUsI bola sakawA hUz.,mEM rUsI bola sakawA hUz,मैं रूसी बोल सकता हूँ,मैं रूसी <> बोल सकता हूँ
108,usane nahIM KAyA.,vaha nahIM KAyA,वह नहीं खाया,वह नहीं खाया
109,Apa kahAz raha sakawe ho?,Apa #kahAz meM raha sakawA hE,आप #कहाँ में रह सकता है,आप #कहाँ <> रह सकता है
110,muJe kalama xiyA gayA.,muJe kalama xiyA jAyA,मुझे कलम दिया जाया,मुझे कलम <> दिया जाया
111,mEM Kela Kela sakawA hUz.,mEM Kela Kela sakawA hUz,मैं खेल खेल सकता हूँ,मैं खेल <> खेल सकता हूँ
112,mEM JUTa bola sakawA hUz.,mEM JUTa bola sakawA hUz,मैं झूठ बोल सकता हूँ,मैं झूठ <> बोल सकता हूँ
113,sUrya camakawA BI hE.,sUrya camakawA hE,सूर्य चमकता है,सूर्य चमकता है
114,kyA mEM jA sakawA hUz?,kyA mEM jA sakawA hUz?,क्या मैं जा सकता हूँ?,मैं जा सकता हूँ
115,kyA mEM kala Gara jA sakawA hUz?,kyA mEM kala ko Gara jA sakawA hUz?,क्या मैं कल को घर जा सकता हूँ?,मैं कल <> घर जा सकता हूँ
116,kyA usane nahIM KAyA?,kyA vaha nahIM KAyA?,क्या वह नहीं खाया?,वह नहीं खाया
117,hama puswakeM paDawe hEM.,hama puswakeM paDawe hEM,हम पुस्तकें पढते हैं,हम पुस्तकें <> पढते हैं
120,yaha Gara hE.,isa Gara hE,इस घर है,इस घर है
122,vaha so sakawA hE.,vaha so sakawA hE,वह सो सकता है,वह सो सकता है
123,mEM kala Kela KelUMgA.,mEM kala ko Kela KelUzgA, मैं कल को खेल खेलूँगा,मैं कल <> खेल <> खेलूँगा
124,kyA wuma Keloge?,kyA wuma Keloge/KelegA?,क्या तुम खेलोगे/खेलेगा?,तुम खेलोगे/खेलेगा
125,rAvaNa mArA gayA WA.,rAvaNa ko mArA jAyA WA,रावण को मारा जाया था,रावण <> मारा जाया था
126,rAma doYktara nahIM hE.,rAma doYktara nahIM hE,राम डोक्टर नहीं है,राम डोक्टर नहीं है
127,rAma xillI meM nahIM hE.,rAma xillI meM nahIM hE,राम दिल्ली में नहीं है,राम दिल्ली <> नहीं है
128,rAvaNa rAma ke xvArA laMkA meM mArA gayA.,rAvaNa ko rAma ne laMkA meM mArA jAyA WA,रावण को राम ने लंका में मारा जाया था,रावण <> राम <> लंका <> मारा जाया था
129,prawyeka baccA Kela rahA hE.,#prawyeka baccA Kela rahA hE,#प्रत्येक बच्चा खेल रहा है,#प्रत्येक बच्चा खेल रहा है
130,hara baccA Kela rahA hE.,#hara baccA Kela rahA hE,#हर बच्चा खेल रहा है,#हर बच्चा खेल रहा है
131,saBI bacce Kela rahe hEM.,saBI bacce Kela rahe hEM,सभी बच्चे खेल रहे हैं,सभी बच्चे खेल रहे हैं
132,prawyeka pedZa lambA hE.,#prawyeka peda #lambA hE,#प्रत्येक पेड #लम्बा है,#प्रत्येक पेड #लम्बा है
133,kuCa bacce koI Kela Kela sakawe hEM.,#kuCa bacce #koI Kela Kela sakawe hEM,#कुछ बच्चे #कोई खेल खेल सकते हैं,#कुछ बच्चे #कोई खेल <> खेल सकते हैं
134,bacce koI Kela nahIM KeleMge.,bacce #koI Kela nahIM KeleMge,बच्चे #कोई खेल नहीं खेलेंगे,बच्चे #कोई खेल <> नहीं खेलेंगे
135,rAma ke pAsa WodZA pAnI hE.,rAma ke pAsa Wode pAnI hE,राम के पास थोडे पानी है,राम <> <> थोडे पानी है
136,mEM souMgA.,mEM soUzgA,मैं सोऊँगा,मैं सोऊँगा
137,kyA Apa AeMge?,kyA Apa AegA?,क्या आप आएगा?,आप आएगा
138,kyA usane KAyA?,kyA vaha KAyA?,क्या वह खाया?,वह खाया
139,kyA wuma nahIM Keloge?,kyA wuma nahIM Keloge/KelegA?,क्या तुम नहीं खेलोगे/खेलेगा?,तुम नहीं खेलोगे/खेलेगा
141,vaha xillI meM rahawA WA.,vaha xillI meM rahawA WA,वह दिल्ली में रहता था,वह दिल्ली <> रहता था
142,rAma yaha kAma kara sakawA hE.,rAma isa kAma kara sakawA hE,राम इस काम कर सकता है,राम इस काम <> कर सकता है
143,rAma yaha kAma nahIM kara sakawA.,rAma isa kAma nahIM kara sakawA,राम इस काम नहीं कर सकता,राम इस काम <> नहीं कर सकता
144,Sahara jAie!,Sahara jAie,शहर जाइए,शहर जाइए
145,Sahara jAiegA.,Sahara jAiegA,शहर जाइएगा,शहर जाइएगा
149,Sahara jA.,Sahara jA,शहर जा,शहर जा
150,rAma ne KAnA nahIM KAyA WA,rAma KAnA nahIM,राम खाना नहीं,राम खाना <> नहीं
152,xillI A.,xillI A,दिल्ली आ,दिल्ली आ
153,rAma ne kAma kiyA WA,rAma ne kAma kiyA WA,राम ने काम किया था,राम <> काम <> किया था
154,rAma ne KAnA KAyA hE.,rAma ne KAnA KAyA hE,राम ने खाना खाया है,राम <> खाना <> खाया है
155,BEravanAWa mAz vERNo ke xvArA katarA  meM mArA gayA hE.,#BEravanAWa ko mAz #vERNo #katarA meM mArI jAI hE,#भैरवनाथ को माँ #वैष्णो #कटरा में मारी जाई है,#भैरवनाथ <> माँ #वैष्णो #कटरा <> मारी जाई है
156,rAvaNa rAma ke xvArA laMkA meM mArA gayA hE.,rAvaNa ko rAma ne laMkA meM mArA jAyA hE,रावण को राम ने लंका में मारा जाया है,रावण <> राम <> लंका <> मारा जाया है
157,usake xvArA KAnA KAyA gayA WA.,usane KAnA KAyA jAyA WA,उसने खाना खाया जाया था,उसने खाना <> खाया जाया था
159,rAma sonA cAhawA hE.,rAma #so cAhawA hE,राम #सो चाहता है,राम #सो <> चाहता है
160,KAnA mere xvArA KAyA gayA.,KAnA mEMne KAyA jAyA,खाना मैंने खाया जाया,खाना <> मैंने खाया जाया
161,kyA rAvaNa rAma ke xvArA mArA gayA WA?,kyA rAvaNa ko rAma ne mArA jAyA WA,क्या रावण को राम ने मारा जाया था,क्या रावण <> राम <> मारा जाया था
162,mere xvArA KAnA KAyA gayA WA.,mEMne KAnA KAyA jAyA WA,मैंने खाना खाया जाया था,मैंने खाना <> खाया जाया था
163,lomadZI BUKI WI,lomadI BUKA WI,लोमडी भूखा थी,लोमडी भूखा थी
164,usane eka Kewa xeKA,usane eka Kewa xeKA,उसने एक खेत देखा,उसने एक खेत <> देखा
165,Kewa meM bahuwa aMgUra We,Kewa meM bahuwa aMgUra We,खेत में बहुत अंगूर थे,खेत <> बहुत अंगूर थे
166,aMgUra rasIle  We.,aMgUra rasIlA We,अंगूर रसीला थे,अंगूर रसीला थे
167,saviwA rImA ko xasa seba xegI.,#saviwA #rImA ko xasa/xasoM seba xegA,#सविता #रीमा को दस/दसों सेब देगा,#सविता #रीमा <> दस/दसों सेब <> देगा
168,rajawa ne rAXA ko bawAyA,#rajawa ne rAXA ko bawAI,#रजत ने राधा को बताई,#रजत <> राधा <> बताई
169,mEM Sivama ke lie Sahara se AyA.,mEM #Sivama ke lie Sahara se AyA,मैं #शिवम के लिए शहर से आया,मैं #शिवम <> <> शहर <> आया
170,mEMne naye ladake ko xeKA.,mEMne naye ladake ko xeKA,मैंने नये लडके को देखा,मैंने नये लडके <> देखा
171,mEMne aMXe ladake ko xeKA.,mEMne aMXe ladake ko xeKA,मैंने अंधे लडके को देखा,मैंने अंधे लडके <> देखा
173,ismA puswakeM paDegI.,#ismA puswakeM paDegA,#इस्मा पुस्तकें पढेगा,#इस्मा पुस्तकें <> पढेगा
174,mEMne kiwAba paDI.,mEMne kiwAba paDI,मैंने किताब पढी,मैंने किताब <> पढी
175,mEMne acCI kiwAba paDI.,mEMne acCI kiwAba paDI,मैंने अच्छी किताब पढी,मैंने अच्छी किताब <> पढी
176,XarAwala SikRA meM hE.,XarAwala SikRA meM hE,धरातल शिक्षा में है,धरातल शिक्षा <> है
177,rAma ke pAsa lABa hE.,rAma ke pAsa lABa hE,राम के पास लाभ है,राम <> <> लाभ है
178,jaMgala meM Sera WA.,jaMgala meM Sera WA,जंगल में शेर था,जंगल <> शेर था
179,kyA rAma doYktara hE ?,kyA rAma doYktara hE?,क्या राम डोक्टर है?,राम डोक्टर है
180,vaha kiwAba suMxara hE.,usa kiwAba #suMxara hE,उस किताब #सुंदर है,उस किताब #सुंदर है
181,mEM kala AUMgA.,mEM kala ko AUzgA,मैं कल को आऊँगा,मैं कल <> आऊँगा
182,mEM saBA ke lie Sahara AyA,mEMne saBA ke lie Sahara AyA,मैंने सभा के लिए शहर आया,मैंने सभा <> <> शहर आया
183,Delhi Ao.,#Delhi A,#ढेल्हि आ,#ढेल्हि आ
184,rAma doYktara hE.,rAma doYktara hE,राम डोक्टर है,राम डोक्टर है
185,SaharI rAjA jaMgala AyA.,#SaharI rAjA ne jaMgala AyA,#शहरी राजा ने जंगल आया,#शहरी राजा <> जंगल आया
186,Sera rAjA ko xeKA.,Sera ne rAjA xeKA,शेर ने राजा देखा,शेर <> राजा <> देखा
188,mEM so rahA WA,mEM so rahA WA,मैं सो रहा था,मैं सो रहा था
189,rAju ko buKAra hE,#rAju ko buKAra hE,#राजु को बुखार है,#राजु <> बुखार है
191,kyA wumako buKAra hE?,kyA #wU buKAra hE?,क्या #तू बुखार है?,#तू बुखार है
192,pariNAma burA WA,pariNAma burA WA,परिणाम बुरा था,परिणाम बुरा था
193,mEM Delhi meM hUz.,mEM #Delhi meM hUz,मैं #ढेल्हि में हूँ,मैं #ढेल्हि <> हूँ
194,kyA wuma Delhi meM ho?,kyA wuma #Delhi meM hE?,क्या तुम #ढेल्हि में है?,तुम #ढेल्हि <> है
195,bacce Pala KAwe hEM.,bacce Pala KAwe hEM,बच्चे फल खाते हैं,बच्चे फल <> खाते हैं
196,rAma ko KIra KAnI padZI.,rAma KIra KAnA padA,राम खीर खाना पडा,राम खीर <> खाना पडा
199,ladakA vixyAlaya meM paDawA hE.,ladakA vixyAlaya meM paDawA hE,लडका विद्यालय में पढता है,लडका विद्यालय <> पढता है
200,KAnA mere xvArA KAyA gayA WA.,KAnA mEMne KAyA jAyA WA,खाना मैंने खाया जाया था,खाना <> मैंने खाया जाया था
201,ladakA vixyAlaya ke bagIce meM kiwAba paDa rahA hE.,ladakA vixyAlaya ke bagIce meM kiwAba paDa rahA hE,लडका विद्यालय के बगीचे में किताब पढ रहा है,लडका विद्यालय <> बगीचे <> किताब <> पढ रहा है
204,haMsa sabaka sIKa gaye.,haMsoM ne sabaka sIKA,हंसों ने सबक सीखा,हंसों <> सबक <> सीखा
205,rAjA rAjamahala se AyA.,rAjA rAjamahala se AyA,राजा राजमहल से आया,राजा राजमहल <> आया
208,rAjamahala meM wAlAba hE.,rAjamahala meM wAlAba hE,राजमहल में तालाब है,राजमहल <> तालाब है
209,haMsa IrRyAlu hEM.,haMsa #IrRyAlu hEM,हंस #ईर्ष्यालु हैं,हंस #ईर्ष्यालु हैं
210,haMsa suKI hE.,haMsa suKI hE,हंस सुखी है,हंस सुखी है
211,rAjA ke pAsa paMKa hEM,rAjA ke pAsa paMKa hEM,राजा के पास पंख हैं,राजा <> <> पंख हैं
213,Apa kala KeleMge.,Apa kala ko Keloge/KelegA,आप कल को खेलोगे/खेलेगा,आप कल <> खेलोगे/खेलेगा
214,ladakA Sahara se AyA hE.,ladakA Sahara se AyA hE,लडका शहर से आया है,लडका शहर <> आया है
215,wAlAba meM haMsa hE.,wAlAba meM haMsa hE,तालाब में हंस है,तालाब <> हंस है
216,ladake ne nayI kiwAba paDI.,ladakA ne nayI kiwAba paDI,लडका ने नयी किताब पढी,लडका <> नयी किताब <> पढी
217,rAma xvArA KIra KAyI gayI.,rAma ne KIra KAI jAI,राम ने खीर खाई जाई,राम <> खीर <> खाई जाई
218,rAma Sahara meM WA,rAma Sahara meM WA,राम शहर में था,राम शहर <> था
219,ayAn kA miwra vixyAlaya meM paDawA WA.,#ayAn kA miwra vixyAlaya meM paDawA WA,#अयान् का मित्र विद्यालय में पढता था,#अयान् <> मित्र विद्यालय <> पढता था
220,vaha rAmapura meM rahawA WA.,vaha rAmapura meM rahawA WA,वह रामपुर में रहता था,वह रामपुर <> रहता था
221,koI Pala KawI hEM.,#koI Pala KAwA hE,#कोई फल खाता है,#कोई फल <> खाता है
222,ayAn ne use pAnI xiyA.,#ayAn ne usako pAnI xiyA,#अयान् ने उसको पानी दिया,#अयान् <> उसको पानी <> दिया
223,mEMne nayI kiwAba paDI.,mEMne nayI kiwAba paDI,मैंने नयी किताब पढी,मैंने नयी किताब <> पढी
224,mEM Sahara jA rahA hUz.,mEM Sahara jA rahA hUz,मैं शहर जा रहा हूँ,मैं शहर जा रहा हूँ
225,mEM saBA ke lie Sahara se AyA.,mEM saBA ke lie Sahara se AyA,मैं सभा के लिए शहर से आया,मैं सभा <> <> शहर <> आया
226,mEM Aja AyA.,mEM Aja AyA,मैं आज आया,मैं आज आया
227,mEM usase kiwAba le rahA hUz.,mEM usase kiwAba le rahA hUz,मैं उससे किताब ले रहा हूँ,मैं उससे किताब <> ले रहा हूँ
228,mEM usake lie Sahara se AyA.,mEM #vaha Sahara se AyA,मैं #वह शहर से आया,मैं #वह शहर <> आया
229,ayAn ke pAsa WodZA pAnI WA.,#ayAn ke pAsa Wode pAnI WA,#अयान् के पास थोडे पानी था,#अयान् <> <> थोडे पानी था
230,mEM kala AUzgA.,mEM kala ko AUzgA,मैं कल को आऊँगा,मैं कल <> आऊँगा
231,vaha acCA doYktara hE,vaha acCA doYktara hE,वह अच्छा डोक्टर है,वह अच्छा डोक्टर है
232,ladake ke liye jaMgala se Pala lAo!,ladake ke lie jaMgala se Pala lAo,लडके के लिए जंगल से फल लाओ,लडके <> <> जंगल <> फल <> लाओ
233,ladakA nayI kiwAba paDa rahA hE.,ladakA nayI kiwAba paDa rahA hE,लडका नयी किताब पढ रहा है,लडका नयी किताब <> पढ रहा है
234,mEM Gara A rahA hUz.,mEM Gara A rahA hUz,मैं घर आ रहा हूँ,मैं घर आ रहा हूँ
236,ayAn ne KAnA nahIM KAyA WA.,#ayAn KAnA nahIM,#अयान् खाना नहीं,#अयान् खाना <> नहीं
237,vaha Sahara meM vixyAlaya meM gayA.,usane Sahara meM vixyAlaya jAyA,उसने शहर में विद्यालय जाया,उसने शहर <> विद्यालय जाया
238,rAma Delhi meM rahawA hE,rAma #Delhi meM rahawA hE,राम #ढेल्हि में रहता है,राम #ढेल्हि <> रहता है
239,baccA bagIcA meM Kela rahA hE,baccA bagIce meM Kela rahA hE,बच्चा बगीचे में खेल रहा है,बच्चा बगीचे <> खेल रहा है
240,sIwA ne xillI meM cidayAGara xeKA,sIwA ne xillI meM cidiyAGara xeKA,सीता ने दिल्ली में चिडियाघर देखा,सीता <> दिल्ली <> चिडियाघर <> देखा
241,aMSa doYktara hE,aMSa doYktara hE,अंश डोक्टर है,अंश डोक्टर है
242,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE.,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE,लडका विद्यालय में बगीचे में किताब पढ रहा है,लडका विद्यालय <> बगीचे <> किताब <> पढ रहा है
243,rAma KIra KAwA hE.,rAma KIra KAwA hE,राम खीर खाता है,राम खीर <> खाता है
